course_code,title,dept_code,credits,pre_reqs,core_area,inquiry_area,recommendation
POSC 499,Honors Seminar,POSC,3,POSC 498,False,"Social Relations,Inst.& Agents",False
MATH 214,Linear Algebra,MATH,3,MATH 163 (may be taken concurrently),False,Natural Sciences & Mathematics,False
ITAL 223,Intro to Italian Cinema,RMLL,3,False,False,Human Thought and Expression,False
MATH 250,Number Theory and Mathematical Reasoning,MATH,3,MATH 162 or MATH 163 with a grade of C or better,False,Natural Sciences & Mathematics,False
ITAL 223L,Required Film Screening,RMLL,0,False,False,Human Thought and Expression,False
REST 122,Elementary Russian II,SOAN,3,REST 121,False,Human Thought and Expression,False
ITAL 353,Lit: Modern & Contemp,RMLL,3,At least four years of high school Italian or ITAL 201,Global Engagements,Human Thought and Expression,False
REST 202,Intermediate Russian II,SOAN,3,REST 201,Global Engagements,Human Thought and Expression,False
SPAN 122,Elementary Spanish II,RMLL,3,False,False,Human Thought and Expression,False
MATH 260,Computational Mathematics,MATH,3,MATH 162 and MATH 163,False,Natural Sciences & Mathematics,False
CORE 187C,Russia at the Crossroads of East and West,False,3,False,Communities & Identities,False,False
SPAN 201,Intermediate Spanish,RMLL,3,Two or three years of high school Spanish or SPAN 121- 122,False,Human Thought and Expression,Students with more than 3 years of high school Spanish should not register for this course
MATH 260L,Computational Mathematics Lab,MATH,1,False,False,Natural Sciences & Mathematics,False
THEA 250,Stagecraft,THEA,3,False,False,Human Thought and Expression,False
SPAN 202,Intermed Spanish: Lang & Lit,RMLL,3,Three to four years of high school Spanish or SPAN 201 or equivalent,Global Engagements,Human Thought and Expression,Recommended for students who have a good background in grammar but need further training in reading before taking courses at the 350 level.
THEA 252,Scenic Design,THEA,3,False,False,Human Thought and Expression,False
MATH 308,Differential Equations,MATH,3,MATH 162 and MATH 163 and MATH 214,False,Natural Sciences & Mathematics,False
THEA 253,Costume Design,THEA,3,False,False,Human Thought and Expression,False
THEA 254,Acting I,THEA,3,False,False,Human Thought and Expression,False
THEA 257,Workshop in Children's Theater,THEA,3,False,False,Human Thought and Expression,False
THEA 259,"Performance I: We Are Pussy Riot, or Everything is PR",THEA,2,False,False,False,False
SPAN 351,Spanish Literature: Knights and Troubadours in Medieval Spain,RMLL,3,At least four years of high school Spanish or SPAN 202,False,Human Thought and Expression,False
MATH 312,Math Modeling: Social Sciences,MATH,3,MATH 214,False,Natural Sciences & Mathematics,False
THEA 267,Modern Drama,THEA,3,False,False,Human Thought and Expression,Students intending to major/minor in theater usually take either THEA 266 or THEA 267 by the end of sophomore year.
SPAN 352,Spanish Literature: Love and Honor in the Golden Age,RMLL,3,At least four years of high school Spanish or SPAN 202,False,Human Thought and Expression,False
MATH 375,Abstract Algebra I,MATH,3,MATH 250 with a grade of C or better,False,Natural Sciences & Mathematics,False
MATH 376,Numerical Analysis,MATH,3,MATH 214 and MATH 260 (260 with a grade of C or better),False,Natural Sciences & Mathematics,False
SPAN 354,"Latin American Literature: Illusion, Fantasy, Magical Realism",RMLL,3,At least four years of high school Spanish or SPAN 202,False,Human Thought and Expression,False
MATH 377,Real Analysis I,MATH,3,MATH 162 and MATH 163 and (MATH 250 or MATH 260) with a grade of C or better,False,Natural Sciences & Mathematics,False
ENGL 267,Modern Drama,ENGL,3,False,False,Human Thought and Expression,Students intending to major/minor in theater usually take either THEA 266 or THEA 267 by the end of sophomore year.
SPAN 361,Advanced Composition and Stylistics,RMLL,3,"At least four years of high school Spanish, or SPAN 202",False,Human Thought and Expression,False
MATH 399,Math Problem Solving,MATH,3,MATH 250 and (MATH 320 or MATH 375 or MATH 323 or MATH 377),False,Natural Sciences & Mathematics,False
SPAN 460,Span Renaiss & Baroque Poetry,RMLL,3,False,False,Human Thought and Expression,False
SPAN 473,Women and Censorship in Contemporary Spanish Novels,RMLL,3,False,False,Human Thought and Expression,False
MATH 487,Real Analysis II,MATH,3,MATH 377 or MATH 323,False,Natural Sciences & Mathematics,False
THEA 271,Introduction to Contemporary Dance,THEA,3,False,False,Human Thought and Expression,False
SPAN 475,Spanish as a Global Language,RMLL,3,False,False,Human Thought and Expression,False
THEA 240,Intro to Hip Hop Dance,THEA,3,False,False,Human Thought and Expression,False
CORE 143S,Statistics in Real Life,False,3,Three years of secondary school mathematics,Scientific Perspectives,False,False
THEA 349,Global Theater,THEA,3,False,Global Engagements,Human Thought and Expression,False
SPAN 481,MajSpanAuth:Sci-Fi in Spanish,RMLL,3,False,False,Human Thought and Expression,False
ENGL 349,Global Theater,ENGL,3,False,Global Engagements,Human Thought and Expression,False
SPAN 482,Major Spanish Authors: Inclusion and Exclusion in Central American Literatures,RMLL,3,False,False,Human Thought and Expression,False
THEA 354,Directing I,THEA,3,False,False,Human Thought and Expression,False
CORE 140S,Language and Cognition,False,3,False,Scientific Perspectives,False,False
THEA 363,Narrative Improv &Storytelling,THEA,3,THEA 353,False,Human Thought and Expression,False
THEA 371,Contemporary Dance in Performance,THEA,3,THEA 271,False,Human Thought and Expression,False
CORE 160C,Latin America,False,3,False,Communities & Identities,False,False
CORE 180C,French Caribbean,False,3,False,Communities & Identities,False,False
PCON 111,Introduction to Peace and Conflict Studies,PSCI,3,False,False,"Social Relations,Inst.& Agents",False
PCON 225,"Theories of Peace and Conflict: War, State, and Society",PSCI,3,False,False,"Social Relations,Inst.& Agents",False
POSC 341,War and the Shaping of American Politics,POSC,3,False,False,"Social Relations,Inst.& Agents",False
PCON 499,Honors Seminar in Peace and Conflict Studies,PSCI,3,PCON 479,False,False,False
ARTS 222L,Required Film Screening,ARTS,0,False,False,False,False
HIST 105,Introduction to the Modern Middle East (ME),HIST,3,False,False,"Social Relations,Inst.& Agents",False
CORE 138S,Advent of the Atomic Bomb,False,3,False,Scientific Perspectives,False,False
CLAS 250E,Ancient Roman City/Ext Study,CLAS,2,False,False,False,False
SOCI 224R,SRS: Research & Reflection,SOAN,1,False,False,False,False
CORE 151R,SRS: Research & Reflection,False,1,False,False,False,False
HIST 273R,SRS: Research & Reflection,HIST,1,False,False,False,False
HIST 114,History of Hudson,HIST,3,False,False,"Social Relations,Inst.& Agents",False
SPAN 355,Latin American Literature: The Many Voices of Latin America,RMLL,3,At least four years of high school Spanish or SPAN 202,Global Engagements,Human Thought and Expression,False
ANTH 226,Critical Global Health,SOAN,3,False,Global Engagements,"Social Relations,Inst.& Agents",False
ANTH 228,Women and Gender in Prehistory (MC),SOAN,3,False,Global Engagements,"Social Relations,Inst.& Agents",False
THEA 341E,Performing & Media Arts Ext St,THEA,2,FMST 340 or (THEA 349 or ENGL 349),False,False,False
FMST 341E,Performing & Media Arts Ext St,ARTS,2,FMST 340 or (THEA 349 or ENGL 349),False,False,False
HIST 251,The Politics of History,HIST,3,False,False,"Social Relations,Inst.& Agents",False
PCON 358,Transnational Politics,PSCI,3,False,Global Engagements,"Social Relations,Inst.& Agents",False
NEUR 353,Visual Perception and Cognition,PBSC,3,(NEUR 170 or PSYC 275) and (NEUR 201 or NEUR 202 or PSYC 200),False,Natural Sciences & Mathematics,PSYC 200 is recommended.
MATH 360,Graph Theory,MATH,3,MATH 250 or MATH 310 or COSC 290,False,Natural Sciences & Mathematics,False
ECON 344,Public Economics,ECON,3,ECON 251,False,"Social Relations,Inst.& Agents",False
SOSC 210,Oil and Water Ext. Study,False,3,GEOG 328 or POSC 270 or GEOG 311 or (HIST 263 or FSEM 188),Global Engagements,"Social Relations,Inst.& Agents",False
GEOG 310,Geopolitics,GEOG,3,False,False,"Social Relations,Inst.& Agents",False
PCON 310,Geopolitics,PSCI,3,False,False,"Social Relations,Inst.& Agents",False
CHIN 222L,Required Film Screening,EALL,0,False,False,Human Thought and Expression,False
THEA 350,Theater Practicum: Devised Theater Workshop,THEA,3,False,False,Human Thought and Expression,False
NEUR 499,Senior Thesis,PBSC,3,False,False,Natural Sciences & Mathematics,False
NEUR 498,Senior Thesis,PBSC,3,False,False,Natural Sciences & Mathematics,False
PSYC 499,Senior Research,PBSC,3,PSYC 498,False,Natural Sciences & Mathematics,False
PSYC 498,Senior Research,PBSC,3,PSYC 150 and PSYC 200 and PSYC 309 and one other 300-level course,False,Natural Sciences & Mathematics,False
HIST 462,Seminar on African History,HIST,3,One African history course,False,"Social Relations,Inst.& Agents",False
SOSC 405,Upstate Law Project,False,3,False,False,"Social Relations,Inst.& Agents",False
ENGL 591,Major British Writers,ENGL,3,False,False,False,False
ENGL 592,Searching for Home in S Asia,ENGL,3,False,False,False,False
ENGL 593,Major British Writers,ENGL,3,False,False,False,False
EDUC 593,Special Project and Thesis,EDUC,3,False,False,False,False
EDUC 507,Special Education,EDUC,3,False,False,False,False
CHEM 482,Advanced Chemistry Research,CHEM,2,False,False,False,False
ASIA 121,Elementary Korean/NY6,HIST,2,False,False,False,False
EDUC 502,The Teaching of Reading,EDUC,3,False,False,False,False
LCTL 191,Korean,EALL,2,False,False,False,False
ENGL 594,Literary Journalism,ENGL,3,False,False,False,False
EDUC 541,Queering Education,EDUC,3,False,False,False,False
GERM 490,Honors: Women in Drama,GERM,3,False,False,Human Thought and Expression,False
PHIL 490,Honors,PHIL,3,False,False,Human Thought and Expression,False
JAPN 499,Special Studies for Honors,EALL,3,False,False,Human Thought and Expression,False
RELG 490,Spec Studies for Honors,RELG,3,False,False,Human Thought and Expression,False
REST 490,Honors,SOAN,3,False,False,Human Thought and Expression,False
PHYS 491,Ind: Honors Research,PHAS,3,False,False,Natural Sciences & Mathematics,False
CHIN 499,Honors,EALL,3,False,False,Human Thought and Expression,False
FREN 490,Honors,RMLL,3,False,False,Human Thought and Expression,False
SPAN 490,Honors,RMLL,3,False,False,Human Thought and Expression,False
GEOG 499,Honors,GEOG,3,False,False,"Social Relations,Inst.& Agents",False
BIOL 491,Ind:Lpd Memb Comp Oixdat Stres,BIOL,3,False,False,Natural Sciences & Mathematics,False
ENST 491,Indp: Honors Thesis,ENST,3,False,False,False,False
ANTH 495,Honors,SOAN,3,ANTH 452 or ANTH 454,False,"Social Relations,Inst.& Agents",False
ARTS 491,Ind: Honors,ARTS,3,False,False,Human Thought and Expression,False
CORE 151X,Legacies Anc World/CLAC,False,0,False,False,False,False
WMST 499,Honors in Women's Studies,EDUC,3,False,False,False,False
ASTR 592,Deciphering the Sky,PHAS,3,False,False,False,False
BIOL 591,Ecology,BIOL,3,False,False,False,False
THEA 363Z,Narrative Improv &Storytelling,THEA,3,False,False,False,False
THEA 496,Special Studies for Honors Candidates in Theater,THEA,3,False,False,Human Thought and Expression,False
ALST 499,Special Studies for Honors,ENGL,3,False,False,False,False
EDUC 501,The American School,EDUC,3,False,False,False,False
MUSI 470,Senior Seminar,MUSI,3,False,False,Human Thought and Expression,False
GERM 202Z,Intermediate German II,GERM,3,False,False,False,False
CORE 180CX,French Caribbean/FLAC,False,0,False,False,False,False
BIOL 592,Biostatistics,BIOL,3,False,False,False,False
BIOL 592L,Biostatistics Lab,BIOL,1,False,False,False,False
NAST 300,Continuity in Pueblo Communities,SOAN,1,False,False,False,False
ITAL 223X,Intro to Italian Cinema/FLAC,RMLL,0,False,False,False,False
BIOL 101,Topics in Organismal Biology,BIOL,3,False,False,Natural Sciences & Mathematics,First-year students and non-science majors. May be beneficial for entering students who do not have extensive biology background in preparation for enrollment in the foundation courses (BIOL 181 and BIOL 182). Not intended for students who have completed a biology foundation course.
CHEM 101,General Chemistry I,CHEM,3,False,False,Natural Sciences & Mathematics,False
CHEM 101L,General Chemistry I Lab,CHEM,1,False,False,Natural Sciences & Mathematics,False
MATH 316,Probability,MATH,3,MATH 162 and MATH 163,False,Natural Sciences & Mathematics,False
MATH 354,Data Analysis I - Generalized Linear Models,MATH,3,ECON 375 or BIOL 320 or PSYC 309 or (MATH 105 and MATH 260) or (CORE 143S and MATH 260) or (MATH 105 and COSC 290) or (CORE 143S and COSC 290),False,Natural Sciences & Mathematics,False
MATH 450,Number Theory II,MATH,3,MATH 375,False,Natural Sciences & Mathematics,False
MATH 482,Research Seminar: Applied Mathematics,MATH,3,MATH 376 and MATH 377,False,Natural Sciences & Mathematics,False
LGBT 220,"Lives, Communities, and Modes of Critical Inquiry: An Exploration into LGBTQ Studies",EDUC,3,False,False,"Social Relations,Inst.& Agents",False
GEOG 105,Climate and Society,GEOG,3,False,False,"Social Relations,Inst.& Agents",False
GEOG 107,Is the Planet Doomed?,GEOG,3,False,False,"Social Relations,Inst.& Agents",False
GEOG 231,Geography of the Physical Environment,GEOG,3,False,False,Natural Sciences & Mathematics,False
BIOL 205,Cell Biology,BIOL,3,BIOL 181 and BIOL 182,False,Natural Sciences & Mathematics,False
BIOL 205L,Cell Biology Lab,BIOL,1,False,False,Natural Sciences & Mathematics,False
BIOL 305,Vertebrate Zoology,BIOL,3,BIOL 181,False,Natural Sciences & Mathematics,False
BIOL 305L,Vertebrate Zoology Lab,BIOL,1,False,False,Natural Sciences & Mathematics,False
BIOL 306,Medical and Forensic Botany,BIOL,3,BIOL 181,False,Natural Sciences & Mathematics,False
BIOL 306L,Medical & Forensic Botany Lab,BIOL,1,False,False,False,False
BIOL 310,Epidemiology,BIOL,3,BIOL 182,False,Natural Sciences & Mathematics,False
BIOL 311,Comparative Physiology,BIOL,3,BIOL 181 and BIOL 182,False,Natural Sciences & Mathematics,False
BIOL 311L,Comparative Physiology Lab,BIOL,1,False,False,Natural Sciences & Mathematics,False
GEOG 251,Media Frame & Content Analysis,GEOG,2,False,False,False,False
GEOG 309,Lat Amer: Landscapes of Devel,GEOG,3,False,Global Engagements,"Social Relations,Inst.& Agents",False
ALST 309,Lat Amer: Landscapes of Devel,ENGL,3,False,Global Engagements,"Social Relations,Inst.& Agents",False
GEOG 312,The American City,GEOG,3,False,Global Engagements,"Social Relations,Inst.& Agents",False
GEOG 326,Environmental Hazards,GEOG,3,False,False,"Social Relations,Inst.& Agents",False
GEOG 332,Weather and Climate,GEOG,3,GEOG 131 or GEOG 231,False,Natural Sciences & Mathematics,False
BIOL 330,Conservation Biology,BIOL,3,BIOL 201 or BIOL 202 or BIOL 203 or BIOL 204 or BIOL 205 or BIOL 206,Global Engagements,Natural Sciences & Mathematics,False
BIOL 341,Animal Behavior,BIOL,3,BIOL 201 or BIOL 202 or BIOL 203 or BIOL 204 or BIOL 205 or BIOL 206,False,Natural Sciences & Mathematics,False
BIOL 341L,Animal Behavior Lab,BIOL,1,False,False,Natural Sciences & Mathematics,False
BIOL 374,Immunology,BIOL,3,BIOL 201 or BIOL 202 or BIOL 203 or BIOL 204 or BIOL 205 or BIOL 206,False,Natural Sciences & Mathematics,False
BIOL 389,Molecular Neurobiology,BIOL,3,BIOL 182,False,Natural Sciences & Mathematics,False
BIOL 476,"Investigations in Biodiversity, Community, and Ecosystem Ecology",BIOL,3,False,False,Natural Sciences & Mathematics,False
BIOL 477,Molecular Control of Neural Development,BIOL,3,False,False,Natural Sciences & Mathematics,False
PCON 479,"Research Seminar: Peace and Conflict, Themes and Analysis",PSCI,3,PCON 111 and (PCON 218 or ANTH 218) and PCON 225,False,False,False
BIOL 482,Adaptation to Environment,BIOL,3,False,False,Natural Sciences & Mathematics,False
BIOL 487,Advanced Aquatic Ecology,BIOL,3,False,False,Natural Sciences & Mathematics,False
BIOL 489,Research in Plant Physiological Ecology,BIOL,3,False,False,Natural Sciences & Mathematics,False
CORE 124S,Cells and Human Development,False,3,False,Scientific Perspectives,False,False
HIST 102,Europe in Crisis Since 1815 (EU),HIST,3,False,False,"Social Relations,Inst.& Agents",False
GEOL 115,Evolution: Dinosaurs to Darwin,EEGS,3,False,False,Natural Sciences & Mathematics,False
HIST 106,The Making of Modern Africa (AF),HIST,3,False,False,"Social Relations,Inst.& Agents",False
ALST 282,The Making of Modern Africa,ENGL,3,False,False,"Social Relations,Inst.& Agents",False
HIST 209,"The Atlantic World, 1492 - 1800 (LAC)",HIST,3,False,False,"Social Relations,Inst.& Agents",False
CHEM 111,Chemical Principles,CHEM,3,False,False,Natural Sciences & Mathematics,False
CHEM 111L,Chemical Principles Lab,CHEM,1,False,False,Natural Sciences & Mathematics,False
CHEM 263,Organic Chemistry I,CHEM,3,CHEM 102 or CHEM 111 with a grade of C- or higher.,False,Natural Sciences & Mathematics,False
CHEM 263L,Organic Chemistry I Lab,CHEM,1,False,False,Natural Sciences & Mathematics,False
CHEM 333,Physical Chemistry I,CHEM,3,(CHEM 102 or CHEM 111) and (PHYS 111 or PHYS 232) and (MATH 112 or MATH 162) (PHYS 111 may be taken concurrently with instructor permission),False,Natural Sciences & Mathematics,False
CHEM 371,Instrumental Methods,CHEM,3,CHEM 263 (may be taken concurrently),False,Natural Sciences & Mathematics,False
CHEM 381,Practical Quantitative Analysis,CHEM,1,CHEM 371 (encouraged to be taken concurrently),False,False,False
CHEM 387,Special Topics: Structure and Analysis,CHEM,1,CHEM 264 (may be taken concurrently by permission),False,False,False
CHEM 452,Metabolic Chemistry,CHEM,2,CHEM 264,False,False,False
CHEM 481,Advanced Chemistry Research,CHEM,2,False,False,False,False
GEOL 135,Oceanography and the Environment,EEGS,3,False,False,Natural Sciences & Mathematics,False
GEOL 215,Paleontology of Marine Life,EEGS,3,1 GEOL or 1 BIOL course,False,Natural Sciences & Mathematics,False
GEOL 215L,Paleontology of Marine Life Lab,EEGS,1,False,False,Natural Sciences & Mathematics,False
GEOL 225,Sedimentology and Surficial Processes,EEGS,3,1 GEOL course,False,Natural Sciences & Mathematics,False
GEOL 225L,Sedimentology and Surficial Processes Lab,EEGS,1,False,False,False,False
UNST 350,Interdis Methods Seminar,False,3,False,False,False,Students in humanities and social sciences who are preparing to conduct independent interdisciplinary research.
EDUC 245,"Globalization's Children: The Education of the ""New"" Immigrants in the United States",EDUC,3,EDUC 101 or FSEM 182,False,"Social Relations,Inst.& Agents",False
EDUC 303,"Decolonizing Development: Gender, Power & Education in International Development",EDUC,3,EDUC 101 or FSEM 182 or WMST 202 or FSEM 145,Global Engagements,"Social Relations,Inst.& Agents",False
EDUC 310,Racial Captialism & Edu Policy,EDUC,3,EDUC 101 or FSEM 182,False,"Social Relations,Inst.& Agents",False
EDUC 450,Senior Seminar: Thesis,EDUC,3,False,False,"Social Relations,Inst.& Agents",False
EDUC 451,Seminar on Curriculum and Instruction in English/Social Studies,EDUC,3,False,False,"Social Relations,Inst.& Agents",False
EDUC 453,Seminar on Curriculum and Instruction in Science/Mathematics,EDUC,3,False,False,"Social Relations,Inst.& Agents",False
EDUC 454,Diagnosis and Remediation of Reading Problems,EDUC,3,EDUC 202,False,"Social Relations,Inst.& Agents",False
EDUC 455,Student Teaching,EDUC,3,False,False,"Social Relations,Inst.& Agents",False
EDUC 456,Dignity in Schools,EDUC,1,EDUC 101,False,"Social Relations,Inst.& Agents",False
PSYC 251,Learning & Cognition,PBSC,3,PSYC 150 or NEUR 170,False,Natural Sciences & Mathematics,False
PSYC 263,Social Psychology,PBSC,3,PSYC 150,False,Natural Sciences & Mathematics,False
HIST 211,Women's Rights in US History,HIST,3,False,False,"Social Relations,Inst.& Agents",False
HIST 218,African Amer Struggle-Freedom,HIST,3,False,Global Engagements,"Social Relations,Inst.& Agents",False
ASTR 101,Solar System Astronomy,PHAS,3,False,False,Natural Sciences & Mathematics,False
HIST 233,"The French Revolution: Old Regime, Revolution, and Napoleonic Empire, 1770-1815 (EU)",HIST,3,False,False,"Social Relations,Inst.& Agents",False
HIST 265,War and Violence in East Asia (AS),HIST,3,False,False,"Social Relations,Inst.& Agents",False
HIST 271,The First World War,HIST,3,False,False,"Social Relations,Inst.& Agents",False
HIST 300,The London Colloquium (EU),HIST,3,False,False,"Social Relations,Inst.& Agents",False
HIST 306,History of Numbers in America (US),HIST,3,False,False,"Social Relations,Inst.& Agents",False
HIST 318,Afric-Amer Hist to Emancipatn,HIST,3,False,False,"Social Relations,Inst.& Agents",False
ASTR 210,Intermediate Astronomy and Astrophysics,PHAS,3,(MATH 161 or MATH 162 or MATH 163) and PHYS 233 (PHYS 233 may be taken concurrently),False,Natural Sciences & Mathematics,False
ASTR 313,Planetary Science,PHAS,3,(MATH 111 or MATH 161 or MATH 112 or MATH 162 or MATH 113 or MATH 163) and (PHYS 232 or any two GEOL courses),False,Natural Sciences & Mathematics,False
HIST 350,"Post-War Europe, 1945 to the Present (EU)",HIST,3,False,False,"Social Relations,Inst.& Agents",False
PHYS 111,Fundamental Physics I,PHAS,3,False,False,Natural Sciences & Mathematics,False
HIST 370,The Mongol Empire (TR),HIST,3,False,False,"Social Relations,Inst.& Agents",False
PHYS 111L,Fundamental Physics I Lab,PHAS,1,False,False,Natural Sciences & Mathematics,False
HIST 385,Darfur in Historical Perspective (AF),HIST,3,False,False,"Social Relations,Inst.& Agents",False
HIST 399,Reading Sem:Race & Nationalism,HIST,3,HIST 199 or HIST 299,False,"Social Relations,Inst.& Agents",False
HIST 400,"Sem:Slave,Poltic&Resist/NoAmer",HIST,3,False,False,"Social Relations,Inst.& Agents",False
PHYS 131,Atoms and Waves,PHAS,3,Students who plan to continue into PHYS 232 should co-register for MATH 161,False,Natural Sciences & Mathematics,"This course is required for students planning to major in physics, physics-astronomy, or physical science, and for students interested in pre-engineering."
PHYS 131RE,Atoms and Waves Recitation,PHAS,0,False,False,False,False
PHYS 131L,Atoms and Waves Lab,PHAS,1,False,False,Natural Sciences & Mathematics,False
PHYS 205,Mathematical Methods of Physics,PHAS,3,MATH 163 and PHYS 201 and PHYS 232 all with a grade of C- or higher.,False,Natural Sciences & Mathematics,False
PSYC 342,Close Relationships,PBSC,3,PSYC 200,False,Natural Sciences & Mathematics,False
PHYS 233,Introduction to Electricity and Magnetism,PHAS,3,PHYS 232 and (MATH 113 or MATH 163) both with a grade of C- or higher.,False,Natural Sciences & Mathematics,This course is required for students planning to major in the physical sciences and pre-engineering. Students planning to take physics courses beyond PHYS 233 should co-register in PHYS 205.
PSYC 351,Attention & Memory,PBSC,3,PSYC 200 and (PSYC 250 or PSYC 251),False,Natural Sciences & Mathematics,False
PSYC 355,Language and Thought,PBSC,3,(NEUR 170 or PSYC 275) and (NEUR 201 or NEUR 202 or PSYC 200),Global Engagements,Natural Sciences & Mathematics,False
PHYS 233L,Introduction to Electricity and Magnetism Lab,PHAS,1,False,False,Natural Sciences & Mathematics,False
PSYC 366,Psychology of Leadership,PBSC,3,PSYC 200,False,Natural Sciences & Mathematics,False
PSYC 367,Advanced Social Psychology,PBSC,3,PSYC 200,False,Natural Sciences & Mathematics,False
PHYS 431,Classical Mechanics,PHAS,3,PHYS 205 with a grade of C- or higher.,False,Natural Sciences & Mathematics,False
PHYS 433,Thermodynamics and Statistical Mechanics,PHAS,3,PHYS 334 with a grade of C- or higher.,False,Natural Sciences & Mathematics,False
PHYS 451,Computational Mechanics,PHAS,3,PHYS 334 with a grade of C- or higher.,False,Natural Sciences & Mathematics,False
PHYS 451L,Computational Mechanics Lab,PHAS,1,False,False,Natural Sciences & Mathematics,False
ENST 490,Seminar in Environmental Studies,ENST,3,ENST 390 or ENST 389 or permission of the ENST director,False,False,False
PHYS 410,Advanced Topics and Experiments,PHAS,3,PHYS 334 with a grade of C- or higher. Astrogeophysics majors are not required to have the pre-requisite.,False,Natural Sciences & Mathematics,False
NEUR 389,Molecular Neurobiology,PBSC,3,BIOL 182,False,Natural Sciences & Mathematics,False
FMST 333,Documentary Film: Social Justice Documentaries,ARTS,3,FMST 200 or FSEM 149 or a cinema studies course,False,Human Thought and Expression,False
NEUR 376,Functional Neuroanatomy and Neural Development,PBSC,3,(NEUR 170 or PSYC 275) and BIOL 182 and (NEUR 201 or NEUR 202 or PSYC 200),False,Natural Sciences & Mathematics,False
FMST 333L,Required Film Screening,ARTS,0,False,False,False,False
FMST 360,Cultural Hist of the Internet,ARTS,3,FMST 200 or ARTS 100,False,Human Thought and Expression,False
FMST 375,Media and Politics,ARTS,3,SOCI 201 or SOCI 250 or FMST 200,False,"Social Relations,Inst.& Agents",False
SOCI 375,Media and Politics [RI],SOAN,3,SOCI 201 or SOCI 250 or FMST 200 or FSEM 149,False,"Social Relations,Inst.& Agents",False
HEBR 121,Elementary Hebrew I,MELL,3,False,False,Human Thought and Expression,False
JWST 251,Faith after the Holocaust,PSCI,3,False,False,Human Thought and Expression,False
RELG 251,Faith after the Holocaust,RELG,3,False,False,Human Thought and Expression,False
RELG 226,"Reason, Religion, and God",RELG,3,False,False,Human Thought and Expression,False
PSYC 376,Functional Neuroanatomy and Neural Development,PBSC,3,(NEUR 170 or PSYC 275) and BIOL 182 and (NEUR 201 or NEUR 202 or PSYC 200),False,Natural Sciences & Mathematics,False
NEUR 381,Behavioral Genetics,PBSC,3,(NEUR 170 or PSYC 275) and (NEUR 201 or NEUR 202 or PSYC 200),False,Natural Sciences & Mathematics,False
PSYC 381,Behavioral Genetics,PBSC,3,(NEUR 170 or PSYC 275) and (NEUR 201 or NEUR 202 or PSYC 200),False,Natural Sciences & Mathematics,False
NEUR 385,Neuroethology,PBSC,3,NEUR 170 or PSYC 275 or BIOL 182,False,Natural Sciences & Mathematics,PSYC 309 or BIOL 320 (formerly BIOL 220) is recommended.
MIST 121,Elementary Arabic I,HIST,3,False,False,Human Thought and Expression,False
PSYC 385,Neuroethology,PBSC,3,NEUR 170 or PSYC 275 or BIOL 182,False,Natural Sciences & Mathematics,PSYC 309 or BIOL 220
BIOL 385,Neuroethology,BIOL,3,NEUR 170 or PSYC 275 or BIOL 182,False,Natural Sciences & Mathematics,PSYC 309 or BIOL 320 (formerly BIOL 220) is recommended.
NEUR 385L,Neuroethology Lab,PBSC,1,False,False,Natural Sciences & Mathematics,False
PSYC 385L,Neuroethology Lab,PBSC,1,False,False,Natural Sciences & Mathematics,False
BIOL 385L,Neuroethology Lab,BIOL,1,False,False,Natural Sciences & Mathematics,False
MIST 201,Intermediate Arabic I,HIST,3,MIST 122,False,Human Thought and Expression,False
MIST 301,Advanced Arabic I,HIST,3,MIST 202,False,Human Thought and Expression,False
POSC 211,The Presidency and Executive Leadership (AM),POSC,3,False,False,"Social Relations,Inst.& Agents",False
MIST 401,Topics in Arabic Lang/Cult I,HIST,3,MIST 302,False,Human Thought and Expression,False
POSC 300,Geneva Colloquium,POSC,2,False,False,False,False
ANTH 248,African Art,SOAN,3,False,False,"Social Relations,Inst.& Agents",False
POSC 314,American Political Development,POSC,3,False,False,"Social Relations,Inst.& Agents",False
POSC 328,Religion and Politics,POSC,3,False,Global Engagements,"Social Relations,Inst.& Agents",False
POSC 331,Politics in Sub-Saharan Africa,POSC,3,False,False,"Social Relations,Inst.& Agents",False
POSC 336,Campaigns & Voting Behavior,POSC,3,False,False,False,False
ARTS 248,African Art,ARTS,3,False,False,Human Thought and Expression,False
ANTH 250,Native Art of N America,SOAN,3,False,False,"Social Relations,Inst.& Agents",False
POSC 349,The International Political Economy,POSC,3,False,False,"Social Relations,Inst.& Agents",False
ARTS 250,Native Art of N America,ARTS,3,False,False,Human Thought and Expression,False
ANTH 253,Field Meth/Interpret-Archaelog,SOAN,3,False,False,"Social Relations,Inst.& Agents",False
ANTH 339,Corporations and Power,SOAN,3,False,Global Engagements,"Social Relations,Inst.& Agents",False
ANTH 452,Senior Seminar in Anthropology,SOAN,3,(ANTH 102 or FSEM 194 or ANTH 103 or ANTH 211) and ANTH 350,False,"Social Relations,Inst.& Agents",All anthropology majors should plan to take this course in fall term of their senior year.
POSC 367,The European Union,POSC,3,False,Global Engagements,"Social Relations,Inst.& Agents",False
POSC 379,The Development of the Modern State,POSC,3,False,False,"Social Relations,Inst.& Agents",False
POSC 385,Modernity and its Conservative Critics,POSC,3,False,False,"Social Relations,Inst.& Agents",False
POSC 389,Constitutional Law: Structures and Powers,POSC,3,False,False,"Social Relations,Inst.& Agents",False
POSC 416,"Seminar: Democracy, Capitalism, and the Changing World Order",POSC,3,False,False,"Social Relations,Inst.& Agents",False
